status,site_name,address,city,zip,latitude,longitude
CLOSED,Wellspring Church Family Life Center,7300 Smithfield Road,North Richland Hills,76182,32.880228,-97.211888
CLOSED,Golden Triangle Branch Library Meeting Room - A & B,4264 Golden Triangle Boulevard,Fort Worth,76244,32.931584,-97.289772
CLOSED,Independence Elementary School Foyer,11773 Bray Birch Lane,Fort Worth,76244,32.945675,-97.275878
CLOSED,Lone Star Elementary School Lobby / Foyer,4647 Shiver Road,Fort Worth,76244,32.902113,-97.285498
CLOSED,The Villages of Woodland Springs Amenity Center Amenity Center,12209 Timberland Boulevard,Fort Worth,76244,32.950806,-97.294795
CLOSED,Indian Springs Middle School Small Gymnasium,305 Bursey Road,Keller,76248,32.893882,-97.249173
ADDED_2026,ACTIV Redbud Room,2061 West Green Oaks Boulevard,Arlington,76013,32.711385,-97.189645
ADDED_2026,Tarrant County College Southeast Campus TBD,2100 Southeast Parkway,Arlington,76018,32.641113,-97.07513
ADDED_2026,Colleyville Recreation Center Annex A Annex A,5008 Roberts Road,Colleyville,76034,32.884882,-97.111107
ADDED_2026,Crowley Recreation Center Youth Room / Teen Zone,405 South Oak Street,Crowley,76036,32.576897,-97.366027
ADDED_2026,Bill R. Johnson CTE Center A117,4500 Longhorn Trail,Fort Worth,76036,32.575136,-97.393825
ADDED_2026,"Hurst Euless Bedford I.S.D. Auxiliary Services Training Room A, B, C & D",1350 West Euless Boulevard,Euless,76040,32.826934,-97.105108
ADDED_2026,Grapevine Middle School Teachers Lounge off the Cafeteria,301 Pony Parkway,Grapevine,76051,32.942941,-97.0844
ADDED_2026,Mariella of Grapevine Gathering Room,3735 Ira E Woods Avenue,Grapevine,76051,32.914388,-97.127218
ADDED_2026,Leo Adams Middle School Portable 5 & 6,1075 Eagle Boulevard,Haslet,76052,32.94236,-97.384448
ADDED_2026,Sendera Ranch Elementary School Gym,1216 Diamondback Lane,Haslet,76052,32.98164,-97.385559
ADDED_2026,Dover Fellowship Hall Dover Hall,208 Municipal Drive,Kennedale,76060,32.645605,-97.224759
ADDED_2026,"Donna Shepard Leadership Academy Gym A, Entry #13",1280 FM Road 1187,Mansfield,76063,32.590697,-97.162309
ADDED_2026,Countryside Bible Church Middle School Main Room,251 Countryside Court,Southlake,76092,32.959219,-97.152796
ADDED_2026,The Carlyle at Stonebridge Park TBD,170 Stonebridge Lane,Southlake,76092,32.937354,-97.188182
ADDED_2026,Hazel Harvey Peace Center for Neighborhoods Front Conference Room,818 Missouri Avenue,Fort Worth,76104,32.736411,-97.319081
ADDED_2026,House of Prayer & Praise Church Fellowship Hall,5025 Avenue G,Fort Worth,76105,32.730224,-97.247421
ADDED_2026,Sycamore Recreation Center Multipurpose Room,2525 East Rosedale Street,Fort Worth,76105,32.730826,-97.290395
ADDED_2026,Thomas Place Community Center Dance Room,4237 Lafayette Avenue,Fort Worth,76107,32.74133,-97.380337
ADDED_2026,The Pentecostals of Fort Worth Children's Ministry Area,10264 Westpoint Boulevard,Fort Worth,76108,32.748335,-97.50232
ADDED_2026,Southwest Regional Library Meeting Room,4001 Library Lane,Fort Worth,76109,32.68973,-97.393948
ADDED_2026,Eastside YMCA Multipurpose Room,1500 Sandy Lane,Fort Worth,76112,32.757392,-97.198587
ADDED_2026,Park Meadows Apartments Dining Room,2716 Yeager Street,Fort Worth,76112,32.741114,-97.233385
ADDED_2026,River Oaks Community Center Backroom,5300 Blackstone Drive,River Oaks,76114,32.764383,-97.398391
ADDED_2026,City of Sansom Park City Hall Municipal Court Council Chambers,5705 Azle Avenue,Sansom Park,76114,32.811587,-97.406017
ADDED_2026,The Westmore Independent Living TBD,25 Leonard Trail,Westworth Village,76114,32.757049,-97.422354
ADDED_2026,Celeste's TBD,1001 Oak Grove Road,Fort Worth,76115,32.673038,-97.31512
ADDED_2026,Birchman Baptist Church Room B202,"2700 Dale Lane, Building B",Fort Worth,76116,32.736636,-97.476014
ADDED_2026,Ridglea Baptist Church Room 100,6037 Calmont Avenue,Fort Worth,76116,32.734001,-97.414589
ADDED_2026,River Trails Elementary School Gym,8850 Elbe Trail,Fort Worth,76118,32.798503,-97.188006
ADDED_2026,Lowery Road Elementary School Gym,7600 Lowery Road,Fort Worth,76120,32.772114,-97.188692
ADDED_2026,Vivian J. Lincoln Branch Library Meeting Room - A & B,8829 McCart Avenue,Fort Worth,76123,32.614305,-97.371502
ADDED_2026,TCU Brown Lupton University Union Brachman Auditorium,2901 Stadium Drive,Fort Worth,76129,32.709671,-97.365152
ADDED_2026,L. A. Gilliland Elementary School Library,701 Waggoman Road,Blue Mound,76131,32.856087,-97.338961
ADDED_2026,Betsy Price Community Center Multi-Purpose B,8375 Blue Mound Road,Fort Worth,76131,32.890529,-97.346353
ADDED_2026,Highland Middle School Boys Gym Hallway,1001 East Bailey Boswell Road,Fort Worth,76131,32.882507,-97.346586
ADDED_2026,Northbrook Elementary School Gym,2500 Cantrell Sansom Road,Fort Worth,76131,32.847875,-97.326528
ADDED_2026,Sunset Valley Elementary School Foyer / Lobby,2032 Canchim Street,Fort Worth,76131,32.877932,-97.331112
ADDED_2026,South Hills Elementary School Library,3009 Bilglade Road,Fort Worth,76133,32.677147,-97.360901
ADDED_2026,Legacy Baptist Church Gym,5500 Boat Club Road,Fort Worth,76135,32.833057,-97.425149
ADDED_2026,Alliance Methodist Church Family Life Center,7904 Park Vista Boulevard,Fort Worth,76137,32.882414,-97.272509
ADDED_2026,Jerilyn K. Pfeifer Administration Building Lobby,"1520 Everman Parkway, Suite B",Everman,76140,32.627258,-97.303472
ADDED_2026,Berea Baptist Church Fellowship Hall,6901 Forest Hill Drive,Forest Hill,76140,32.65533,-97.269832
